condition,gapOf,signal_detection,n,percentage
0_vs_minus30,1,Hit,3,25
0_vs_minus30,1,Miss,9,75
0_vs_minus30,2,Hit,4,66.66666666666667
0_vs_minus30,2,Miss,2,33.333333333333336
0_vs_minus30,3,Hit,4,66.66666666666667
0_vs_minus30,3,Miss,2,33.333333333333336
0_vs_minus30,4,Hit,4,66.66666666666667
0_vs_minus30,4,Miss,2,33.333333333333336
0_vs_minus30,7,Hit,6,100
0_vs_minus30,9,Hit,6,100
0_vs_minus30,10,Hit,6,100
0_vs_minus30,11,Hit,12,100
0_vs_plus30,1,Hit,1,16.666666666666668
0_vs_plus30,1,Miss,5,83.33333333333333
0_vs_plus30,2,Hit,7,58.333333333333336
0_vs_plus30,2,Miss,5,41.666666666666664
0_vs_plus30,3,Hit,4,66.66666666666667
0_vs_plus30,3,Miss,2,33.333333333333336
0_vs_plus30,4,Hit,5,83.33333333333333
0_vs_plus30,4,Miss,1,16.666666666666668
0_vs_plus30,5,Hit,11,91.66666666666667
0_vs_plus30,5,Miss,1,8.333333333333334
0_vs_plus30,6,Hit,12,100
0_vs_plus30,7,Hit,5,83.33333333333333
0_vs_plus30,7,Miss,1,16.666666666666668
0_vs_plus30,8,Hit,11,91.66666666666667
0_vs_plus30,8,Miss,1,8.333333333333334
0_vs_plus30,10,Hit,12,100
minus30_vs_0,1,Hit,2,33.333333333333336
minus30_vs_0,1,Miss,4,66.66666666666667
minus30_vs_0,2,Hit,4,66.66666666666667
minus30_vs_0,2,Miss,2,33.333333333333336
minus30_vs_0,3,Hit,10,55.55555555555556
minus30_vs_0,3,Miss,8,44.44444444444444
minus30_vs_0,4,Hit,3,50
minus30_vs_0,4,Miss,3,50
minus30_vs_0,5,Hit,11,61.111111111111114
minus30_vs_0,5,Miss,7,38.888888888888886
minus30_vs_0,6,Hit,12,100
minus30_vs_0,7,Hit,5,83.33333333333333
minus30_vs_0,7,Miss,1,16.666666666666668
minus30_vs_0,8,Hit,4,66.66666666666667
minus30_vs_0,8,Miss,2,33.333333333333336
minus30_vs_0,9,Hit,12,100
minus30_vs_0,10,Hit,9,75
minus30_vs_0,10,Miss,3,25
minus30_vs_plus30,1,Miss,6,100
minus30_vs_plus30,2,Hit,2,33.333333333333336
minus30_vs_plus30,2,Miss,4,66.66666666666667
minus30_vs_plus30,3,Hit,4,66.66666666666667
minus30_vs_plus30,3,Miss,2,33.333333333333336
minus30_vs_plus30,4,Hit,4,66.66666666666667
minus30_vs_plus30,4,Miss,2,33.333333333333336
minus30_vs_plus30,7,Hit,6,100
minus30_vs_plus30,9,Hit,5,83.33333333333333
minus30_vs_plus30,9,Miss,1,16.666666666666668
minus30_vs_plus30,10,Hit,12,100
minus30_vs_plus30,11,Hit,12,100
plus30_vs_0,1,Hit,2,33.333333333333336
plus30_vs_0,1,Miss,4,66.66666666666667
plus30_vs_0,4,Hit,5,41.666666666666664
plus30_vs_0,4,Miss,7,58.333333333333336
plus30_vs_0,6,Hit,5,83.33333333333333
plus30_vs_0,6,Miss,1,16.666666666666668
plus30_vs_0,7,Hit,6,100
plus30_vs_0,8,Hit,5,83.33333333333333
plus30_vs_0,8,Miss,1,16.666666666666668
plus30_vs_0,9,Hit,6,100
plus30_vs_0,11,Hit,12,100
plus30_vs_minus30,1,Hit,2,33.333333333333336
plus30_vs_minus30,1,Miss,4,66.66666666666667
plus30_vs_minus30,2,Hit,1,16.666666666666668
plus30_vs_minus30,2,Miss,5,83.33333333333333
plus30_vs_minus30,3,Hit,4,66.66666666666667
plus30_vs_minus30,3,Miss,2,33.333333333333336
plus30_vs_minus30,5,Hit,11,91.66666666666667
plus30_vs_minus30,5,Miss,1,8.333333333333334
plus30_vs_minus30,6,Hit,10,83.33333333333333
plus30_vs_minus30,6,Miss,2,16.666666666666668
plus30_vs_minus30,7,Hit,6,100
plus30_vs_minus30,8,Hit,11,91.66666666666667
plus30_vs_minus30,8,Miss,1,8.333333333333334
plus30_vs_minus30,9,Hit,6,100
plus30_vs_minus30,10,Hit,6,100
