"difficulty_level","total_trials","hits","hit_rate","hit_rate_corrected","z_hit","z_fa","d_prime"
1,42,10,0.238095238095238,0.238095238095238,-0.712443032389489,-0.91174159543775,0.19929856304826
2,36,18,0.5,0.5,0,-0.91174159543775,0.91174159543775
3,42,26,0.619047619047619,0.619047619047619,0.302980448056207,-0.91174159543775,1.21472204349396
4,36,21,0.583333333333333,0.583333333333333,0.210428394247925,-0.91174159543775,1.12216998968567
5,42,33,0.785714285714286,0.785714285714286,0.791638607743375,-0.91174159543775,1.70338020318112
6,42,39,0.928571428571429,0.928571428571429,1.46523379268552,-0.91174159543775,2.37697538812327
7,36,34,0.944444444444444,0.944444444444444,1.59321881802305,-0.91174159543775,2.5049604134608
8,36,31,0.861111111111111,0.861111111111111,1.08532490807676,-0.91174159543775,1.99706650351451
9,36,35,0.972222222222222,0.972222222222222,1.91450582505556,-0.91174159543775,2.82624742049331
10,48,45,0.9375,0.9375,1.53412054435255,-0.91174159543775,2.4458621397903
11,36,36,1,0.986111111111111,2.20041058121003,-0.91174159543775,3.11215217664778
